Cliente;Data_Cadastro;Telefone;Email;Valor_Compra;Status;Categoria;ID_Produto;Endereco;Estado;CEP;Produto;Quantidade;Forma_Pagamento;Observacao
Thales Viana;2025-03-15;84 5066-1833;da-matadavi-luiz@ig.com.br;5735.75;Inativo;Alimentos;im83-45wz;Vereda Maria Lopes, 68, Maravilha, 21318-289 da Rosa de Minas / CE;MG;34818-102;Refrigerante;;dinheiro;Atraso na entrega
thiago santos;2023-05-22;+55 81 6971-4785;nnogueira@yahoo.com.br;1626,96;Ativo;Alimentos;Yr80-76lC;Gonçalves de da Conceição;MG;36234086;Café;;Cartão;
Yasmin Correia;15/02/2024;+55 (011) 0816-8101;araujoluiz-gustavo@fogaca.com;2626.45;INATIVO;Roupas;vj83-04zA;Praça Gomes, 80, Garças, 70251756 Moreira Paulista / MA;SP;33312-006;Vestido;3;Boleto;Entregar urgente
Sra. Sr. Luiz Henrique Gomes;01/02/2024;+55 (071) 7147-5882;wsales@viana.com;1272,99;Ativo;Móveis;JB49-59DL;Ferreira da Mata;MG;95524-277;Armário;;Cartão;Atraso na entrega
Luiz Gustavo Silveira;2024-07-18;+55 11 8511 9453;sabrinacunha@ig.com.br;7509.72;INATIVO;Eletrônicos;RO29-27ME;Esplanada Caldeira, Santa Terezinha, 09415-467 Barbosa / SP;RS;56679414;Fone de Ouvido;;;
Diego Almeida;2024-10-25;(084) 1194 2080;ucarvalho@gmail.com;4143.46;ativo;Alimentos;lw30-77wv;Jardim Farias, 29, Paraíso, 79229745 Porto / DF;XX;79590089;Café;;Cartão;Cliente VIP
Gabriela Ferreira;20/10/2023;+55 51 5156 3835;ana-julia93@da.com;3917.32;;Móveis;wY69-92yM;Lagoa Almeida, 9, Vila São Gabriel Jacui, 79684-628 Monteiro da Mata / RO;RJ;36678-856;Cadeira;2;Dinheiro;Atraso na entrega
Sophia Gonçalves;2024-03-10;+55 (031) 4966 3287;camposlucas-gabriel@hotmail.com;5996,87;Inativo;Alimentos;uy67-84Us;Chácara de Araújo, 7, Santa Sofia, 82306928 Ferreira Alegre / MG;AM;88224-347;Chocolate;;Cartão;Cliente VIP
Dra. Yago Campos;2023-09-21;+55 (071) 4267-0733;rmonteiro@bol.com.br;5454,55;;Alimentos;ia79-86vJ;Alves;AM;94155-944;Chocolate;;Dinheiro;
Maria Vitória Ribeiro;18/04/2024;21 6866-7915;melohelena@hotmail.com;3790.97;INATIVO;Alimentos;Lp76-70Oo;Feira de Moura, Vista Do Sol, 60963152 Castro / BA;SP;11287-914;Chocolate;5;;Atraso na entrega
Sr. Eloah Carvalho;2024-01-23;5521992905256;icavalcanti@azevedo.net;7552.12;ativo;Roupas;Rt68-56uz;Parque Helena Duarte, 43, Alto Barroca, 52564969 Santos das Pedras / MS;XX;92794519;Calça;;dinheiro;Atraso na entrega
Juan da Mata;2025-01-19;5584927115128;ana-claraduarte@peixoto.br;910.68;ativo;Eletrônicos;JO05-84rK;Ferreira;RJ;33960913;Tablet;1;;Atraso na entrega
Sra. Ana Lívia Monteiro;04/10/2023;5561956872119;luizarezende@correia.org;932.0;;Alimentos;gj71-85AV;Sítio Maria Alice da Mota, Vila Rica, 33018765 da Cruz / ES;SP;80303-761;Refrigerante;2;Cartão;Atraso na entrega
Sra. Nina Melo;2024-05-14;5531987947959;giovanna46@farias.br;325.27;Ativo;Alimentos;Rp90-92OK;Viaduto Henrique Porto, 964, Barão Homem De Melo 3ª Seção, 17214-044 Nunes de da Cunha / RN;SP;53811-964;Café;5;;
Dra. Sra. Pietra Pires;25/05/2023;5551932862772;laudantium@reiciendis;9512.9;INATIVO;Móveis;Gn15-25wD;Recanto de Silva, 73, Vitoria Da Conquista, 53800798 Lopes do Norte / PA;MG;21313-137;Cadeira;;;Atraso na entrega
theo nascimento;30/05/2024;31 8135-3854;joao-felipe17@gmail.com;4075.69;Em análise;Alimentos;Ph02-69US;Conjunto da Mata, 9, Sport Club, 02185-825 Souza de Araújo / AM;RS;56430134;Bolacha;1;dinheiro;Atraso na entrega
Sabrina Rodrigues;2023-10-13;5571941453678;breno09@yahoo.com.br;4164,77;Inativo;Alimentos;Jf20-19hv;Conjunto Maria Cavalcanti, 430, Horto, 33250-231 Sales / MG;MG;25904244;Café;;;Cliente VIP
Dr. Kaique Azevedo;16/12/2023;(011) 1855 4424;daniela69@moreira.br;6111,24;;Alimentos;ly37-03MO;Conjunto Luana da Conceição, 9, Estrela, 18861544 Peixoto / DF;RJ;13652200;Refrigerante;;;Entregar urgente
Dra. Dra. Ana Carolina da Paz;2024-07-26;(061) 6308 5458;otavioda-mata@hotmail.com;1854,48;ativo;Móveis;Gi35-90Dk;Chácara João Rodrigues, 42, Conjunto Celso Machado, 41388-434 Castro da Serra / RO;MG;14486837;Sofá;;Cartão;Atraso na entrega
Sr. Larissa Nascimento;2024-01-07;5511982893804;marcela93@yahoo.com.br;4527,91;ativo;Alimentos;vt63-56Rc;Travessa Luiz Felipe Pinto, 7, Vila Da Amizade, 16249-123 Azevedo do Sul / PE;AM;77794902;Bolacha;;PIX;Entregar urgente
fernando cavalcanti;2023-06-29;+55 (081) 6067 3061;aragaofernanda@gmail.com;9561.21;Ativo;Alimentos;IX90-33yQ;Feira de Nascimento, 10, Estrela Do Oriente, 62651905 Rocha de Goiás / AM;MG;74507243;Refrigerante;;dinheiro;Cliente VIP
davi jesus;06/11/2023;(081) 0538 3184;luiza69@gomes.br;4302,03;Inativo;Roupas;xU70-60Vj;Jesus do Norte;RJ;300238;Jaqueta;;Boleto;Entregar urgente
Dra. Maria Cecília Pires;2024-08-04;+55 41 0709 0968;brenojesus@yahoo.com.br;2539,57;Em análise;Alimentos;FO07-04Au;Nogueira;MG;53258-897;Refrigerante;;;
joão vitor farias;11/09/2023;(061) 1370-3721;eos@quos;640.14;Ativo;Móveis;eJ23-85qs;Gomes;RS;441903;Sofá;4;Dinheiro;Cliente VIP
maria clara nogueira;29/01/2024;+55 (071) 6622 1089;joao-lucas53@souza.br;2745,12;Em análise;Móveis;Rr32-76ud;Largo Nina Alves, Camponesa 1ª Seção, 52315624 Gomes da Praia / SP;RS;17370429;Cadeira;;Cartão;
sra. ana julia moreira;30/12/2024;+55 (084) 2147 5211;da-costamaria-fernanda@uol.com.br;3833,58;;Alimentos;jT21-18eV;Melo;MG;96808-761;Café;5;dinheiro;Cliente VIP
Dra. Manuela Martins;2023-07-15;61 6471 8562;nathan75@monteiro.com;2383.19;INATIVO;Alimentos;wF35-52vr;Trevo Erick da Paz, 353, Mangueiras, 19268-705 Nunes / AC;SP;17359-585;Chocolate;4;dinheiro;Atraso na entrega
Dra. Ana Luiza Cunha;2025-03-20;0900 983 1780;zrocha@lima.com;5038,91;ativo;Alimentos;BE27-45zt;Vila de Jesus, 4, Senhor Dos Passos, 06255-260 Fernandes das Flores / RS;RJ;36844016;Refrigerante;2;PIX;Cliente VIP
thales azevedo;2024-12-07;5521957087279;isabella04@uol.com.br;503,37;INATIVO;Alimentos;RI59-30Kc;Fazenda de Ferreira, Jardim Leblon, 15670249 Nogueira / MG;AM;49750-798;Chocolate;;;Cliente VIP
Dr. Matheus Alves;2025-01-27;+55 11 2227-4899;pereiralorena@hotmail.com;7890.8;INATIVO;Eletrônicos;nO84-96RS;Campo de Souza, 197, Pongelupe, 03252387 Lima do Sul / SE;SP;58372174;Notebook;;Cartão;Cliente VIP
maria luiza azevedo;2023-06-22;+55 84 2061-0578;ana-sophiaduarte@hotmail.com;4763,44;Inativo;Roupas;HF52-18KX;Ladeira Lívia Dias, 62, Cruzeiro, 87044-567 Fogaça do Amparo / SP;SP;03015255;Calça;;dinheiro;Entregar urgente
fernanda campos;31/12/2024;5531995288320;isabella00@da.net;9995.82;Inativo;Roupas;wp36-04HR;Vale Santos, 7, Alípio De Melo, 00010125 da Rosa / AL;MG;29769511;Calça;;Dinheiro;Atraso na entrega
gabriela das neves;2023-06-04;0300-643-4782;xpinto@nunes.com;8845.09;;Roupas;Dd15-03qz;Parque Cavalcanti, 15, Araguaia, 59484-945 Novaes de Fogaça / PB;SP;18543170;Camisa;;dinheiro;Atraso na entrega
breno martins;12/12/2024;(084) 6516 2956;maria-eduarda44@da.com;2108,26;ativo;Roupas;Sr11-05Io;Residencial Daniela Freitas, 3, Coração Eucarístico, 25458108 da Cruz / RO;SP;05844379;Camisa;1;PIX;Atraso na entrega
vitória rocha;2024-06-23;+55 (071) 0281 7604;joao-gabrielaragao@carvalho.com;4660,96;Em análise;Roupas;JR85-58PJ;Pátio de Jesus, 68, Vila São Gabriel Jacui, 08739-522 da Rosa de Goiás / MS;XX;71029-194;Jaqueta;5;;Atraso na entrega
rafaela aragão;01/09/2023;+55 11 9605 2790;raquel16@melo.br;7494,42;Em análise;Móveis;GM86-22MG;Jardim de Cardoso, 3, Camponesa 1ª Seção, 87442520 Dias do Galho / PB;AM;90639335;Cadeira;;dinheiro;Entregar urgente
Sr. Stella Sales;2025-01-18;(081) 0442-3719;isabelladas-neves@hotmail.com;9748,8;Ativo;Móveis;qj73-85FP;Área Castro, 3, São Bento, 05236151 Freitas / MS;RJ;751135;Mesa;;;Entregar urgente
evelyn nascimento;2024-05-02;+55 11 4609 9407;juliana34@hotmail.com;8392.35;Ativo;Roupas;XS12-83UN;Residencial Nogueira, 2, Ouro Minas, 72682675 Pinto / MT;AM;30210-698;Jaqueta;;;
joana farias;22/03/2024;61 2421 9618;piresalexandre@correia.br;9968.15;INATIVO;Eletrônicos;kE40-10LU;Avenida Costela, 69, Paulo Vi, 75725-354 Campos de Melo / SE;RS;09855395;Notebook;;dinheiro;
Diego da Conceição;2024-03-27;5531980606843;mirella86@mendes.com;7037,65;Ativo;Alimentos;qB52-85rb;Viaduto Pereira, 10, Vila Madre Gertrudes 3ª Seção, 32698186 Martins de Sales / MA;RJ;02553-727;Café;;;Entregar urgente
Sr. Laís da Mota;2024-07-11;5521950468577;kaiquealves@nunes.org;9440,44;ativo;Alimentos;Ue57-15bA;Nascimento;MG;58733091;Bolacha;;;Atraso na entrega
lara carvalho;31/03/2024;5581912342332;vicentejesus@gmail.com;6967.71;Ativo;Roupas;BH32-88SN;Conjunto Letícia Jesus, 401, Vila Fumec, 63098638 Fernandes da Praia / PA;RJ;01108-945;Jaqueta;;Boleto;Cliente VIP
alexia azevedo;2024-11-09;5584929929787;thalesmoura@bol.com.br;4797.6;;Móveis;oI05-35KC;Chácara Manuela Araújo, 66, Vista Do Sol, 08851810 Ramos / SC;MG;32523-753;Sofá;;Dinheiro;Atraso na entrega
Dr. Ana Luiza Monteiro;2024-02-11;5551915810112;mrodrigues@uol.com.br;3677.48;Ativo;Roupas;sw34-32DQ;Vila Peixoto, 98, Europa, 62311089 Aragão da Prata / RR;RJ;11971979;Calça;;PIX;
luiza rodrigues;05/10/2023;+55 (061) 6162 1331;at@soluta;1212,68;;Móveis;LM61-62Fq;Recanto Luiz Felipe Melo, 2, São Damião, 87704-856 Ramos de Gomes / CE;RJ;46637-;Mesa;;dinheiro;Cliente VIP
Luigi Costela;2024-09-04;+55 51 4039 3582;luiz-miguelnovaes@carvalho.net;9918,21;Em análise;Eletrônicos;SI55-32RW;Fernandes;RS;434778;Tablet;;;Atraso na entrega
Sr. Benício Porto;2024-09-26;5584912176304;nathanlima@da.br;2421.15;INATIVO;Móveis;ld52-61aw;Passarela Eduarda Farias, 37, Minaslandia, 92390736 Cardoso / RR;RS;58327-804;Mesa;;Cartão;Entregar urgente
sr. davi lucca cardoso;08/01/2025;5584918339069;balves@moraes.br;2075.83;Inativo;Alimentos;EF66-72BJ;Vale Oliveira, 63, Cardoso, 31073-106 Pereira da Serra / AP;MG;33838-745;Chocolate;;Cartão;Cliente VIP
pedro miguel ferreira;23/10/2024;0500 748 0645;da-conceicaojoao-miguel@ig.com.br;7809,22;ativo;Móveis;SS22-22UN;Vila Emanuelly Martins, 7, Vila Oeste, 11062005 Lopes / TO;RS;78054357;Armário;2;Dinheiro;Atraso na entrega
Sra. Agatha Teixeira;2023-05-03;(061) 4276-0072;lara06@yahoo.com.br;7342,05;;Alimentos;kE07-88Me;Ladeira Lucca Barbosa, 735, São Geraldo, 04305-512 Rodrigues Paulista / RN;AM;46604736;Bolacha;;Cartão;
Thiago Teixeira;29/05/2024;5531959768925;heloisacastro@hotmail.com;2262.77;ativo;Roupas;nH47-35hn;das Neves;XX;68567-843;Camisa;;dinheiro;
Sr. Dra. Fernanda Moura;2024-10-11;5551939359367;luiz-henrique53@caldeira.br;8978.51;;Móveis;aC63-26nb;Feira de Rocha, 143, Vila Paraíso, 02375-312 Azevedo / MT;AM;42278456;Mesa;;Dinheiro;Cliente VIP
Srta. Maria Alice Campos;2025-04-15;5511921200142;gabriellynovaes@ig.com.br;2592.02;ativo;Alimentos;Su67-82Ea;Viaduto Duarte, Santa Monica, 12544699 Rezende Verde / PR;RJ;81718-809;Chocolate;;;Cliente VIP
Dra. Sr. Bryan Costela;17/11/2023;5511927834322;valentinagoncalves@pinto.br;572,1;Ativo;Eletrônicos;pQ77-01vx;Rodrigues;SP;61810216;Smartphone;4;Boleto;Atraso na entrega
Dr. Fernando Porto;2025-03-20;51 6198 8637;ryan65@hotmail.com;1936.39;Em análise;Móveis;Il16-81Qq;Distrito Gustavo Nunes, 98, Nazare, 94042-348 Barros de Viana / PA;SP;45260205;Cadeira;5;PIX;Atraso na entrega
Sra. Caroline Farias;2023-10-19;+55 84 0443-6380;clarafreitas@souza.br;5286,98;INATIVO;Alimentos;dM78-32bA;Praia Heloísa Moraes, 56, Santa Tereza, 77204147 Oliveira / DF;RJ;96260-962;Refrigerante;3;dinheiro;
Lucas Gabriel Farias;2024-01-01;+55 (071) 0173-9061;alicia69@uol.com.br;2055,23;Inativo;Móveis;oO07-87mg;Pátio Diego Costela, 19, São Francisco, 35307202 Duarte / TO;RS;56105030;Mesa;;;Cliente VIP
Benício Alves;2025-02-23;31 4919-7661;sarah94@gmail.com;3833,14;Ativo;Roupas;zZ82-87DS;Rua Alícia Ramos, Vila Da Luz, 24002-282 Martins Verde / DF;XX;76756-251;Vestido;;Dinheiro;Atraso na entrega
bernardo nascimento;11/12/2024;(021) 3561 1088;mbarbosa@gmail.com;2028,71;Em análise;Roupas;VP57-19Zi;Trecho de Oliveira, 38, Vila Batik, 35150399 Silva / MA;RJ;55051-073;Calça;;;Atraso na entrega
Dra. Sra. Clarice Silveira;2023-08-25;5541933703094;lda-luz@ig.com.br;2062,68;ativo;Eletrônicos;Lq35-60xX;Largo Moura, 26, Jardim Do Vale, 54772578 Gomes / RO;MG;22512-343;Fone de Ouvido;1;Dinheiro;Cliente VIP
kaique freitas;2024-12-28;5511917308536;isaacmonteiro@barros.net;2436,51;Ativo;Alimentos;bd42-73CW;Passarela de Vieira, 44, Unidas, 68847918 Mendes / DF;AM;80820-;Chocolate;;Boleto;
Dr. Maria Julia Novaes;06/05/2024;0500 717 4453;uduarte@da.com;5282.02;INATIVO;Móveis;tJ20-86WC;da Rocha do Norte;SP;71184-642;Cadeira;;;
Sra. Sarah Novaes;2023-06-28;5521980705092;dda-mata@lopes.com;1491,91;Em análise;Eletrônicos;gg83-25cI;Passarela de Lopes, 14, Minas Brasil, 77608-906 Souza do Campo / CE;MG;06735-;Fone de Ouvido;;Boleto;Atraso na entrega
Noah da Cunha;2024-10-12;5521943485126;krodrigues@yahoo.com.br;8126,61;ativo;Alimentos;eS78-64Hi;da Luz;AM;03620-128;Chocolate;;Cartão;Entregar urgente
Dr. Sr. Danilo Cunha;19/07/2023;5584909490077;barbara02@hotmail.com;4009.54;Em análise;Alimentos;kD72-54zZ;Esplanada Luiz Gustavo Ferreira, 49, Santa Margarida, 77552956 Peixoto / PE;SP;377204;Café;5;dinheiro;
ana nascimento;2023-08-13;(071) 7403 1774;diassophie@vieira.br;1189,06;Inativo;Eletrônicos;vo92-57uT;Ramos do Campo;RS;69418-414;Fone de Ouvido;;Cartão;Atraso na entrega
Sra. Alícia da Rocha;2024-05-12;+55 81 1465-8222;pedroaraujo@novaes.br;4567.77;Em análise;Roupas;yj35-94Lj;Recanto de Lopes, 462, Alta Tensão 1ª Seção, 02254-324 Viana / RO;AM;64853130;Calça;;Boleto;
Sr. Giovanna Cardoso;07/07/2024;5584953961766;pietrocosta@araujo.br;5908.72;INATIVO;Eletrônicos;TR95-05zJ;Loteamento de Porto, 77, Nova Vista, 16058857 da Conceição / CE;MG;98235-;Tablet;;Cartão;Cliente VIP
Leandro Moraes;2025-02-10;81 8482 5847;praesentium@eius;7927.75;;Roupas;MF22-71AO;Chácara Peixoto, 64, Coração De Jesus, 85392-197 Farias / SC;RJ;04737-756;Camisa;;;Cliente VIP
Dra. Ana Beatriz Moreira;2024-04-15;(071) 2813-8478;vieiraheitor@nogueira.br;930.3;INATIVO;Roupas;Ib54-81FI;Jardim de da Cruz, 63, Vila Suzana Segunda Seção, 21362-958 Martins do Campo / AC;RJ;39502683;Calça;;Dinheiro;Atraso na entrega
Igor Cunha;10/05/2024;5521917716526;commodi@laudantium;8468.62;INATIVO;Alimentos;dS40-64hR;Gonçalves de Cunha;MG;25467-051;Café;;Cartão;Entregar urgente
Noah Mendes;11/04/2024;5531996364525;gfogaca@gmail.com;583,01;INATIVO;Móveis;vG78-49fu;Sítio Monteiro, 19, Biquinhas, 42159658 da Paz / PE;SP;29639-625;Cadeira;;dinheiro;Cliente VIP
laura silva;31/05/2024;(071) 5188 2659;da-cruzemanuella@uol.com.br;6166,58;Inativo;Alimentos;QV10-06BM;Viela Caldeira, 576, Santa Margarida, 79874187 da Rocha da Praia / BA;RS;31644380;Refrigerante;;PIX;Cliente VIP
Gabrielly da Mota;2024-10-05;+55 (031) 0097-3444;vitae@dolor;1579,16;ativo;Alimentos;px67-49nj;Nogueira do Amparo;SP;77409114;Chocolate;;;Atraso na entrega
mariane mendes;2024-05-01;31 8493 1223;joao-gabriel03@novaes.br;1196,63;ativo;Eletrônicos;xk74-14sW;Quadra Moreira, 80, Vila Do Pombal, 41516589 da Rocha do Sul / ES;SP;91033-601;Smartphone;;;Entregar urgente
Sr. Stella Caldeira;2025-02-01;(021) 3224 8925;oviana@cardoso.net;4979.4;Em análise;Alimentos;fL19-39Or;Área de Melo, 354, Vila Piratininga, 50022-579 Moura de Minas / PE;XX;79824955;Café;;Cartão;
paulo cardoso;2025-02-26;+55 31 8992-0030;rebeca09@bol.com.br;6472,09;INATIVO;Móveis;Py26-60fr;Núcleo Barbosa, Vila Antena, 39824071 Vieira / RO;MG;37987-071;Mesa;;;
maria alice monteiro;2023-06-19;81 5733-5168;thiago51@gmail.com;9982,75;Em análise;Eletrônicos;Zw14-48cd;Barros dos Dourados;RJ;17991995;Tablet;3;;Entregar urgente
Mariane Moreira;09/12/2023;+55 31 2746-0887;dferreira@das.com;6719,8;Ativo;Eletrônicos;jp33-41GQ;Jardim de Moreira, 90, Vila Cemig, 19965982 Vieira / SC;SP;85392-305;Smartphone;;;
Sra. Eduardo Nascimento;2023-08-02;+55 (081) 7683 4655;luccafernandes@moraes.br;2081,06;Inativo;Eletrônicos;Hh96-52ps;Dias Verde;AM;53835365;Fone de Ouvido;;dinheiro;Cliente VIP
dra. valentina ferreira;17/03/2025;0900 699 1169;renan92@da.br;402,14;INATIVO;Roupas;Yu91-72HE;Martins;AM;87645839;Vestido;2;Boleto;Entregar urgente
Diego Rocha;16/12/2024;+55 (084) 8893 1730;melissa45@uol.com.br;4440.66;;Alimentos;mJ55-81rM;Morro de da Costa, Mirtes, 97000544 da Mata / MT;RS;65554-539;Café;;dinheiro;Cliente VIP
Dr. Enrico da Luz;2025-04-24;(041) 0728-6016;zda-mata@almeida.br;7761.48;Ativo;Alimentos;jU03-55xY;Alameda de Araújo, 49, Santa Maria, 59923450 Melo de Silva / RJ;RS;41832-669;Bolacha;2;Dinheiro;Cliente VIP
Henrique da Conceição;28/03/2025;+55 (071) 3534 5614;carolina31@gmail.com;4313.77;ativo;Eletrônicos;BL08-73Sp;Vale Manuela da Rosa, 79, Acaiaca, 49971004 Silveira Verde / TO;SP;49643645;Fone de Ouvido;5;dinheiro;Cliente VIP
Dr. Alexandre Barros;2023-07-01;+55 (081) 5693 5476;brunomoreira@alves.com;5918.17;;Roupas;Dx26-11uH;Sítio Cavalcanti, 33, Jaraguá, 54223620 Fernandes Verde / PE;RJ;21278574;Vestido;;Boleto;Cliente VIP
levi gomes;2023-10-31;+55 (081) 1834 7734;azevedopietro@fogaca.br;2116,3;INATIVO;Eletrônicos;ol89-30PV;Parque de Barbosa, 30, Gutierrez, 37963603 Santos de Ramos / MT;SP;63348987;Notebook;;Cartão;Cliente VIP
Dr. Vitor Hugo Dias;04/04/2024;5584980738334;vlopes@gmail.com;5408,2;ativo;Alimentos;Ii46-74sU;Avenida da Rosa, 51, Varzea Da Palma, 22416-077 Melo / RR;MG;73881-655;Chocolate;;Dinheiro;Entregar urgente
Lucas Cunha;13/05/2024;71 5298-2872;ana-laura42@uol.com.br;1927,4;Ativo;Móveis;cf38-99Bx;Mendes do Sul;SP;26496-;Cadeira;;dinheiro;Entregar urgente
Dr. Sr. Pedro da Mota;2024-03-31;5521946960342;xcorreia@uol.com.br;1996,59;Ativo;Eletrônicos;DB00-19zk;Favela de Moraes, Pousada Santo Antonio, 61405001 Peixoto do Amparo / RN;AM;93106-;Smartphone;;PIX;
Brenda Barbosa;2023-07-04;(031) 1532 8483;gabriela89@bol.com.br;9717.14;Em análise;Alimentos;xU10-11lu;Trevo Aragão, 98, Vila Pilar, 58266-170 Nascimento do Galho / BA;RS;29084-573;Bolacha;;Dinheiro;Atraso na entrega
melissa peixoto;15/10/2023;+55 51 2316 6492;felipevieira@da.org;5883,44;;Alimentos;zE46-14jr;Ladeira de Nascimento, Novo São Lucas, 42219523 Melo / AP;SP;13856530;Café;1;Cartão;Entregar urgente
Dr. Rebeca da Paz;02/06/2023;5511941345053;yazevedo@ig.com.br;1905,81;;Eletrônicos;jy34-50ZX;Estação de Teixeira, 54, Conjunto Jardim Filadélfia, 17663361 Moreira de Moura / RO;SP;93242823;Tablet;4;;Atraso na entrega
Sra. Enzo Gabriel Pires;2023-11-02;+55 (084) 9861 5153;beniciobarros@da.com;5242,99;INATIVO;Alimentos;Sj95-18Rd;Trecho de Castro, 888, Mariano De Abreu, 35884-846 Campos / PI;MG;41145-572;Bolacha;3;;Cliente VIP
Maria Luiza Pires;2024-05-23;+55 (011) 8443 0780;pfogaca@barros.br;3035,73;INATIVO;Móveis;NJ93-87Lb;Ladeira de da Rosa, Boa União 1ª Seção, 70573-387 Ramos do Oeste / CE;RS;75460875;Sofá;;;
Joaquim Vieira;12/12/2024;84 0787 2743;leonardo43@yahoo.com.br;2596.17;Em análise;Eletrônicos;vf88-59rB;Ramos;SP;28846309;Tablet;;;
Ana Beatriz Viana;2024-10-11;+55 81 5090-1447;brendada-mata@hotmail.com;3016.13;;Móveis;CG04-94bQ;Fazenda Ferreira, 48, Santa Branca, 27155-532 Ferreira do Galho / RO;SP;65964-882;Mesa;;Boleto;Cliente VIP
dr. cauã dias;2025-01-18;5571990207281;ylopes@souza.org;3297,71;ativo;Móveis;fd00-34CO;Colônia Luiz Henrique Almeida, 57, Conjunto Paulo Vi, 94749-160 Pereira / PR;SP;31227192;Armário;2;;
ana beatriz sales;2023-11-28;71 9048-9075;luna60@gmail.com;881,95;INATIVO;Eletrônicos;Nz45-99Fe;Parque Daniela Cavalcanti, 4, Vila Santo Antônio Barroquinha, 21734-465 Ribeiro do Oeste / SC;SP;72889568;Notebook;3;Boleto;Atraso na entrega
Dra. Ana Laura Duarte;2023-11-07;84 3120-1819;peixotopietra@viana.br;6960.93;Ativo;Eletrônicos;lK78-26BR;Trecho Martins, 12, Caetano Furquim, 81423-245 Cavalcanti / PI;MG;95506-579;Tablet;;Dinheiro;
Sr. Alícia Novaes;2024-04-23;41 1251 7311;ana19@cardoso.br;4229.03;INATIVO;Roupas;pd22-04VF;Travessa Castro, 34, Primeiro De Maio, 45300661 da Rocha / CE;SP;97411842;Jaqueta;3;PIX;
Dr. Cauê Ramos;18/07/2024;+55 11 7665 6014;barbosabianca@nogueira.org;3312.92;Em análise;Alimentos;Jh85-71lR;Ladeira Felipe Carvalho, 5, Araguaia, 45766430 Jesus / BA;AM;69936146;Café;3;;Atraso na entrega
Sr. Luiz Henrique Martins;2024-01-25;5531925059578;apinto@cardoso.org;4476.27;ativo;Eletrônicos;lx00-10gG;Vale de Ramos, 9, Boa União 1ª Seção, 36795139 Nogueira / RO;MG;27952655;Fone de Ouvido;4;Dinheiro;Cliente VIP
Dra. Clara Rocha;2024-05-03;5561924395118;kfernandes@gmail.com;3537.86;INATIVO;Alimentos;VZ13-14VW;Vereda João Gabriel Rocha, 27, Nossa Senhora Da Conceição, 98767-907 Alves do Oeste / MA;XX;48947-213;Café;;;Entregar urgente
Eduardo Pinto;2024-07-25;+55 (061) 8237-0680;leandro95@campos.org;8980,81;Em análise;Móveis;nr60-92HS;Esplanada Maria Cecília Campos, 215, Parque São José, 20236007 Sales das Pedras / RN;MG;804322;Cadeira;5;Dinheiro;Atraso na entrega
Agatha Porto;10/01/2025;+55 (011) 6714 9286;xda-luz@ribeiro.net;605,19;INATIVO;Móveis;eK71-33vC;Alameda Francisco Cavalcanti, 40, Colégio Batista, 65857-111 Ribeiro do Amparo / RJ;XX;96441398;Mesa;;;Cliente VIP
sr. joão fogaça;2024-08-05;5531953447796;orezende@hotmail.com;9156,17;ativo;Roupas;YO46-42ht;Jardim Gomes, 76, Bela Vitoria, 11859534 da Luz de Novaes / PR;RJ;66013-083;Camisa;;;Atraso na entrega
maria cecília correia;08/08/2024;+55 (021) 0034 6722;lorenacunha@gomes.br;3159.57;ativo;Alimentos;Pv10-47rX;da Rocha;AM;81488624;Chocolate;4;dinheiro;Cliente VIP
Nina Cavalcanti;23/05/2024;11 7610-5148;roliveira@da.br;8087,14;Inativo;Eletrônicos;xY00-16Mr;Conjunto Lopes, 824, Vila Maloca, 33706-461 Araújo Paulista / SE;XX;48178-566;Tablet;;Boleto;
Erick Pinto;2024-08-22;(021) 4807-9829;marcelocosta@caldeira.com;471.66;;Roupas;Qw95-94qM;Avenida de Jesus, Gameleira, 35276-153 Oliveira de Goiás / AL;XX;503534;Calça;;Dinheiro;Cliente VIP
benjamin cavalcanti;14/05/2024;71 9624 7244;lteixeira@uol.com.br;8342.77;Ativo;Roupas;cJ91-71Qd;Vale Nogueira, Vale Do Jatoba, 82271-762 Santos de Araújo / AM;SP;42879805;Vestido;;Dinheiro;Entregar urgente
Sra. Júlia Silveira;23/05/2024;0300 888 7288;carlos-eduardomendes@hotmail.com;1794,93;Em análise;Roupas;ab59-89uB;Lagoa Melo, 290, Santa Branca, 60620163 Alves das Pedras / PI;MG;46809-478;Calça;;dinheiro;Atraso na entrega
Sra. Maitê Peixoto;2025-01-23;5511939331572;omnis@harum;1459,77;;Eletrônicos;hQ35-39Dy;Esplanada de da Paz, 950, Santo Antônio, 98358-194 Teixeira / AM;MG;17803522;Tablet;;Boleto;
sr. vicente costela;17/03/2024;5521947079424;wda-conceicao@uol.com.br;2488.56;Em análise;Eletrônicos;IF21-05kz;Moreira de Cavalcanti;SP;55916871;Tablet;1;;
Guilherme Moura;2023-08-14;(081) 8379 1786;mourajoao-pedro@ramos.br;2909,24;ativo;Alimentos;XR87-56AG;Área de Pereira, 641, Conjunto São Francisco De Assis, 89588-762 Duarte do Norte / SP;MG;92910-195;Chocolate;;dinheiro;
Isaac da Paz;2023-10-16;5521923165496;provident@repellendus;6498.54;Ativo;Eletrônicos;yb21-31CB;Trecho de Silveira, 593, Vila Nova Gameleira 2ª Seção, 05140-619 Barbosa / SE;AM;11301-476;Tablet;;;Entregar urgente
